上榜时间,股票代码,股票名称,现价,涨跌幅,成交额,上榜涨幅,榜间涨幅
2024-06-03 14:42:11,300661,圣邦股份,78.84,1.64,20757.83,-0.64,-0.04
2024-06-03 14:42:11,300408,三环集团,29.33,0.83,26571.61,-1.03,-0.20
2024-06-03 14:42:11,600171,上海贝岭,16.83,1.08,185093.54,-0.18,-0.54
2024-06-03 14:46:44,600171,上海贝岭,16.88,1.38,187202.54,0.12,0.30
2024-06-03 14:46:44,300458,全志科技,21.48,3.52,108902.60,0.29,0.24
2024-06-03 14:46:44,300661,圣邦股份,78.97,1.8,21091.03,-0.48,0.16
2024-06-03 14:46:44,601919,中远海控,16.05,6.72,387859.33,0.94,0.07
2024-06-03 14:46:44,300408,三环集团,29.33,0.83,27148.49,-1.03,0.00
2024-06-03 14:46:44,002463,沪电股份,33.5,7.2,230353.16,1.18,-0.03
2024-06-03 14:48:38,300502,新易盛,95.03,9.57,400845.18,0.00,0.00
2024-06-03 14:51:10,300661,圣邦股份,79.27,2.19,21882.40,-0.09,0.39
2024-06-03 14:51:10,600171,上海贝岭,16.93,1.68,189364.38,0.42,0.30
2024-06-03 14:51:10,300408,三环集团,29.41,1.1,27797.33,-0.76,0.27
2024-06-03 14:51:10,002938,鹏鼎控股,30.19,0.97,52395.48,-0.30,-0.07
2024-06-03 14:51:10,002463,沪电股份,33.52,7.26,233566.18,1.24,-0.07
2024-06-03 14:51:10,300458,全志科技,21.41,3.18,110858.02,-0.05,-0.34
2024-06-03 14:55:33,300458,全志科技,21.45,3.37,112882.19,0.14,0.19
2024-06-03 14:55:33,300408,三环集团,29.46,1.27,28270.64,-0.59,0.17
2024-06-03 14:55:33,002938,鹏鼎控股,30.2,1.0,53170.09,-0.27,0.03
2024-06-03 14:55:33,002463,沪电股份,33.47,7.1,236087.72,1.08,0.03
2024-06-03 14:55:33,300661,圣邦股份,79.18,2.08,22296.78,-0.20,-0.11
2024-06-03 14:55:33,600171,上海贝岭,16.88,1.38,193293.61,0.12,-0.30
2024-06-03 14:59:47,300408,三环集团,29.49,1.38,28802.58,-0.48,0.11
